id,cpu_per_max,cpu_per_av,cpu_mem_max,cpu_mem_av,gpu_mem_max,gpu_mem_av,gpu_per_max,gpu_per_ave,generation_throughput,prompt_eval_throughput
conversational_79,350.9571558796637,289.00879560408833,1041.76171875,1000.362917877907,2109.578125,1713.3201308139535,67.7,4.837209302325581,2.63,10.74
conversational_08,349.8087954110887,288.29045313189243,1042.0546875,999.5433407738095,2109.578125,1703.6949404761904,95.2,13.800000000000002,2.68,8.57
conversational_80,349.2843511450527,287.2109612202952,1040.98046875,998.7979910714286,2109.578125,1703.8854166666667,99.7,17.166666666666668,2.71,8.87
conversational_81,333.7401292175092,259.041801679173,1041.515625,975.8703703703703,2109.578125,1478.5005787037037,89.1,17.911111111111108,2.71,10.04
conversational_82,349.8806682577444,289.1383914449046,1042.28515625,1000.1015625,2109.578125,1703.8854166666667,50.3,10.942857142857147,2.69,9.5
conversational_83,350.4534606205129,290.0406744081668,1042.1796875,999.8610491071429,2109.578125,1703.8854166666667,99.7,16.966666666666665,2.69,9.9
conversational_84,348.8538681948642,286.259155919227,1041.23828125,998.6540178571429,2109.578125,1703.6949404761904,99.7,16.776190476190475,2.68,8.33
conversational_85,350.62022900764816,290.2408306772086,1041.875,999.9337797619048,2109.578125,1704.075892857143,47.3,6.995238095238095,2.67,10.13
conversational_86,350.9571558796637,289.32059256776614,1042.70703125,1000.9624818313954,2109.578125,1664.1108284883721,99.7,14.302325581395355,2.67,10.5
conversational_87,346.82577565631254,281.28909365313507,1041.4765625,998.343005952381,2109.578125,1703.313988095238,99.7,19.23809523809524,2.72,8.25
conversational_88,349.83261597322104,287.95059736739995,1042.015625,999.7626488095239,2109.578125,1703.5044642857142,94.0,17.200000000000003,2.68,9.57
conversational_89,349.2124105012115,288.7073896569894,1042.1953125,999.8497023809524,2109.578125,1703.8854166666667,66.3,15.757142857142858,2.66,9.76
conversational_09,347.6622137404423,283.6947002518312,1041.02734375,998.8177083333334,2109.578125,1703.6949404761904,99.7,14.080952380952377,2.67,9.34
conversational_90,351.61878704969894,290.04423601827716,1042.17578125,1000.6150981104652,2113.578125,1657.7154796511627,99.7,15.251162790697675,2.68,11.34
conversational_91,349.1412213740301,287.0433248744542,1041.44140625,999.1742931547619,2109.578125,1703.6949404761904,51.5,7.961904761904763,2.68,8.5
conversational_92,347.27793696277246,282.6222865630645,1046.265625,1002.7758556547619,2109.578125,1703.5044642857142,99.7,15.661904761904763,2.71,9.36
conversational_93,348.78048780488047,284.7583583872597,1041.33203125,998.1979166666666,2109.578125,1703.313988095238,99.7,13.033333333333335,2.69,10.13
conversational_94,349.09351145036595,287.89331941099726,1043.49609375,1001.2658110119048,2109.578125,1703.8854166666667,59.6,7.076190476190479,2.69,9.33
conversational_95,348.5659655831728,284.98454483275754,1040.9140625,998.1270461309524,2109.578125,1703.5044642857142,99.7,16.938095238095237,2.69,8.74
conversational_96,348.73628993801753,285.3322103694315,1041.1875,998.565662202381,2109.578125,1703.5044642857142,99.7,16.51904761904762,2.67,9.0
conversational_97,348.4486873508535,284.6766454022998,1043.32421875,1000.4166666666666,2109.578125,1703.5044642857142,60.1,12.63809523809524,2.68,9.01
conversational_98,345.02737226277253,279.61139909534126,1041.62109375,1000.0046164772727,2109.578125,1664.0759943181818,92.3,9.781818181818183,2.69,8.71
conversational_99,348.4255725190683,284.5014691078139,1043.72265625,1001.1863839285714,2109.578125,1703.8854166666667,99.7,14.942857142857147,2.7,10.6
simple_00,355.2338530066988,293.99318544764316,1040.91015625,990.3682725694445,580.078125,557.9366319444445,38.7,2.1500000000000004,2.71,4.14
simple_01,355.49682875264136,293.20602785938064,1041.40234375,993.6114309210526,580.078125,559.1019736842105,2.3,0.12105263157894736,2.75,4.15
simple_10,332.6961770623572,249.59532661978378,1040.23828125,949.597265625,580.078125,539.8234375,53.4,9.94,2.77,4.13
simple_11,357.9739217652867,298.99591341538996,1041.55078125,995.48515625,580.078125,559.75078125,35.3,8.014999999999997,2.71,4.14
simple_12,357.46492985973504,297.9894837087906,1044.0078125,997.780078125,580.078125,559.75078125,30.7,1.535,2.73,4.18
simple_13,342.9161747343831,276.4313255171588,1040.4140625,988.6727941176471,2109.578125,1608.4283088235295,99.7,18.01176470588235,2.69,8.27
simple_14,358.55494229803793,299.9067369559929,1041.74609375,995.8490234375,580.078125,559.95078125,21.2,1.1700000000000002,2.73,4.16
simple_15,358.0390089614962,300.35754177905267,1041.59765625,994.1700246710526,580.078125,559.3125,44.8,2.357894736842105,2.74,4.17
simple_16,357.8891820580337,300.1682327125066,1041.25390625,993.6792763157895,580.078125,559.1019736842105,31.8,1.6736842105263159,2.72,4.18
simple_17,357.17871485943647,296.7937754942104,1041.5703125,995.3998046875,580.078125,559.55078125,32.8,4.1,2.73,4.13
simple_18,349.03225806454344,279.8679126399723,1042.1015625,977.3323102678571,580.078125,551.6104910714286,22.6,3.4499999999999997,2.73,4.18
simple_19,357.77331995987055,297.60347496791826,1041.39453125,994.3418469551282,580.078125,559.2295673076923,44.7,2.2923076923076926,2.74,4.14
simple_02,355.7783641160813,294.5209897160625,1041.41015625,993.2666529605264,580.078125,558.891447368421,50.0,2.6315789473684212,2.74,4.13
simple_20,339.82300884954293,269.39398571176525,1041.48828125,988.9471507352941,2109.578125,1608.1930147058824,85.6,10.929411764705879,2.72,8.5
