secs,id,TTFT,TBT,total_time,total_tokens,prompt_tokens
297,complex_15,6534.01,371.98,26693.41,81.0,27.0
298,complex_15,6534.01,371.98,26693.41,81.0,27.0
299,complex_15,6534.01,371.98,26693.41,81.0,27.0
300,complex_15,6534.01,371.98,26693.41,81.0,27.0
301,complex_15,6534.01,371.98,26693.41,81.0,27.0
302,complex_15,6534.01,371.98,26693.41,81.0,27.0
303,complex_15,6534.01,371.98,26693.41,81.0,27.0
304,complex_15,6534.01,371.98,26693.41,81.0,27.0
305,complex_15,6534.01,371.98,26693.41,81.0,27.0
306,complex_15,6534.01,371.98,26693.41,81.0,27.0
307,complex_15,6534.01,371.98,26693.41,81.0,27.0
308,complex_15,6534.01,371.98,26693.41,81.0,27.0
309,complex_15,6534.01,371.98,26693.41,81.0,27.0
310,complex_15,6534.01,371.98,26693.41,81.0,27.0
311,complex_15,6534.01,371.98,26693.41,81.0,27.0
312,complex_15,6534.01,371.98,26693.41,81.0,27.0
313,complex_15,6534.01,371.98,26693.41,81.0,27.0
314,complex_15,6534.01,371.98,26693.41,81.0,27.0
315,complex_15,6534.01,371.98,26693.41,81.0,27.0
316,complex_15,6534.01,371.98,26693.41,81.0,27.0
317,complex_15,6534.01,371.98,26693.41,81.0,27.0
318,complex_15,6534.01,371.98,26693.41,81.0,27.0
319,complex_15,6534.01,371.98,26693.41,81.0,27.0
320,complex_15,6534.01,371.98,26693.41,81.0,27.0
321,complex_15,6534.01,371.98,26693.41,81.0,27.0
322,complex_15,6534.01,371.98,26693.41,81.0,27.0
323,complex_15,6534.01,371.98,26693.41,81.0,27.0
324,complex_15,6534.01,371.98,26693.41,81.0,27.0
325,complex_15,6534.01,371.98,26693.41,81.0,27.0
326,complex_15,6534.01,371.98,26693.41,81.0,27.0
327,complex_15,6534.01,371.98,26693.41,81.0,27.0
328,complex_15,6534.01,371.98,26693.41,81.0,27.0
329,complex_15,6534.01,371.98,26693.41,81.0,27.0
330,complex_15,6534.01,371.98,26693.41,81.0,27.0
331,complex_15,6534.01,371.98,26693.41,81.0,27.0
332,complex_15,6534.01,371.98,26693.41,81.0,27.0
333,complex_15,6534.01,371.98,26693.41,81.0,27.0
334,complex_15,6534.01,371.98,26693.41,81.0,27.0
335,complex_15,6534.01,371.98,26693.41,81.0,27.0
336,complex_16,6712.07,377.62,32862.25,97.0,28.0
337,complex_16,6712.07,377.62,32862.25,97.0,28.0
338,complex_16,6712.07,377.62,32862.25,97.0,28.0
339,complex_16,6712.07,377.62,32862.25,97.0,28.0
340,complex_16,6712.07,377.62,32862.25,97.0,28.0
341,complex_16,6712.07,377.62,32862.25,97.0,28.0
342,complex_16,6712.07,377.62,32862.25,97.0,28.0
343,complex_16,6712.07,377.62,32862.25,97.0,28.0
344,complex_16,6712.07,377.62,32862.25,97.0,28.0
345,complex_16,6712.07,377.62,32862.25,97.0,28.0
346,complex_16,6712.07,377.62,32862.25,97.0,28.0
347,complex_16,6712.07,377.62,32862.25,97.0,28.0
348,complex_16,6712.07,377.62,32862.25,97.0,28.0
349,complex_16,6712.07,377.62,32862.25,97.0,28.0
350,complex_16,6712.07,377.62,32862.25,97.0,28.0
351,complex_16,6712.07,377.62,32862.25,97.0,28.0
352,complex_16,6712.07,377.62,32862.25,97.0,28.0
353,complex_16,6712.07,377.62,32862.25,97.0,28.0
354,complex_16,6712.07,377.62,32862.25,97.0,28.0
355,complex_16,6712.07,377.62,32862.25,97.0,28.0
356,complex_16,6712.07,377.62,32862.25,97.0,28.0
357,complex_16,6712.07,377.62,32862.25,97.0,28.0
358,complex_16,6712.07,377.62,32862.25,97.0,28.0
359,complex_16,6712.07,377.62,32862.25,97.0,28.0
360,complex_16,6712.07,377.62,32862.25,97.0,28.0
361,complex_16,6712.07,377.62,32862.25,97.0,28.0
362,complex_16,6712.07,377.62,32862.25,97.0,28.0
363,complex_16,6712.07,377.62,32862.25,97.0,28.0
364,complex_16,6712.07,377.62,32862.25,97.0,28.0
365,complex_16,6712.07,377.62,32862.25,97.0,28.0
366,complex_16,6712.07,377.62,32862.25,97.0,28.0
367,complex_16,6712.07,377.62,32862.25,97.0,28.0
368,complex_16,6712.07,377.62,32862.25,97.0,28.0
369,complex_16,6712.07,377.62,32862.25,97.0,28.0
370,complex_16,6712.07,377.62,32862.25,97.0,28.0
371,complex_16,6712.07,377.62,32862.25,97.0,28.0
372,complex_16,6712.07,377.62,32862.25,97.0,28.0
373,complex_16,6712.07,377.62,32862.25,97.0,28.0
374,complex_16,6712.07,377.62,32862.25,97.0,28.0
