secs,id,cpu_per,cpu_mem,gpu_mem,gpu_per,generation_throughput,prompt_eval_throughput
1649,complex_36,344.1036488630381,1041.58984375,2109.578125,0.0,2.69,8.13
1650,complex_36,346.05725765947017,1041.58984375,2109.578125,0.0,2.69,8.13
1651,complex_36,346.05725765947017,1041.58984375,2109.578125,0.0,2.69,8.13
1652,complex_36,347.82400765184366,1041.58984375,2109.578125,0.0,2.69,8.13
1653,complex_36,347.82400765184366,1041.58984375,2109.578125,0.0,2.69,8.13
1654,complex_36,349.6120492925628,1041.58984375,2109.578125,0.0,2.69,8.13
1655,complex_36,349.6120492925628,1041.58984375,2109.578125,0.0,2.69,8.13
1656,complex_36,350.87260034903903,1041.58984375,2109.578125,0.0,2.69,8.13
1657,complex_36,350.87260034903903,1041.58984375,2109.578125,0.0,2.69,8.13
1658,complex_36,352.17391304347717,1041.58984375,2109.578125,0.0,2.69,8.13
1659,complex_36,352.17391304347717,1041.58984375,2109.578125,0.0,2.69,8.13
1660,complex_36,353.3707865168529,1041.58984375,2109.578125,0.0,2.69,8.13
1661,complex_36,353.3707865168529,1041.58984375,2109.578125,0.0,2.69,8.13
1662,complex_36,354.591049382715,1041.58984375,2109.578125,0.0,2.69,8.13
1663,complex_36,354.591049382715,1041.58984375,2109.578125,0.0,2.69,8.13
1664,complex_36,355.5720653788995,1041.59765625,2109.578125,0.0,2.69,8.13
1665,complex_36,355.5720653788995,1041.59765625,2109.578125,0.0,2.69,8.13
1666,complex_36,356.5902578796552,1041.59765625,2109.578125,0.0,2.69,8.13
1667,complex_36,356.5902578796552,1041.59765625,2109.578125,0.0,2.69,8.13
1668,complex_36,357.4835810577276,1041.59765625,2109.578125,0.0,2.69,8.13
1669,complex_36,357.4835810577276,1041.59765625,2109.578125,0.0,2.69,8.13
1670,complex_36,358.3027063147363,1041.59765625,2109.578125,0.0,2.69,8.13
1671,complex_36,358.3027063147363,1041.59765625,2109.578125,0.0,2.69,8.13
1672,complex_36,359.05562742561364,1041.59765625,2109.578125,0.0,2.69,8.13
1673,complex_36,359.05562742561364,1041.59765625,2109.578125,0.0,2.69,8.13
1674,complex_36,359.83709273182876,1041.59765625,2109.578125,0.0,2.69,8.13
1675,complex_36,359.83709273182876,1041.59765625,2109.578125,0.0,2.69,8.13
1676,complex_37,82.0,167.8046875,185.53125,18.7,2.72,4.14
1677,complex_37,82.0,167.8046875,185.53125,18.7,2.72,4.14
1678,complex_37,117.85714285714066,1038.0078125,580.078125,0.0,2.72,4.14
1679,complex_37,117.85714285714066,1038.0078125,580.078125,0.0,2.72,4.14
1680,complex_37,207.4324324324299,1040.265625,580.078125,0.0,2.72,4.14
1681,complex_37,207.4324324324299,1040.265625,580.078125,0.0,2.72,4.14
1682,complex_37,253.5353535353512,1040.265625,580.078125,0.0,2.72,4.14
1683,complex_37,253.5353535353512,1040.265625,580.078125,0.0,2.72,4.14
1684,complex_37,281.2499999999979,1040.265625,580.078125,0.0,2.72,4.14
1685,complex_37,281.2499999999979,1040.265625,580.078125,0.0,2.72,4.14
1686,complex_37,299.4966442953002,1040.265625,580.078125,0.0,2.72,4.14
1687,complex_37,299.4966442953002,1040.265625,580.078125,0.0,2.72,4.14
1688,complex_37,312.0516499282526,1040.265625,580.078125,0.0,2.72,4.14
1689,complex_37,312.0516499282526,1040.265625,580.078125,0.0,2.72,4.14
1690,complex_37,321.5809284817965,1040.265625,580.078125,0.0,2.72,4.14
1691,complex_37,321.5809284817965,1040.265625,580.078125,0.0,2.72,4.14
1692,complex_37,329.20847268672424,1040.265625,580.078125,0.0,2.72,4.14
1693,complex_37,329.20847268672424,1040.265625,580.078125,0.0,2.72,4.14
1694,complex_37,335.1405622489948,1044.13671875,580.078125,0.0,2.72,4.14
1695,complex_37,335.1405622489948,1044.13671875,580.078125,0.0,2.72,4.14
1696,complex_37,339.4160583941595,1044.13671875,580.078125,0.0,2.72,4.14
1697,complex_37,339.4160583941595,1044.13671875,580.078125,0.0,2.72,4.14
1698,complex_37,342.6900584795249,1044.13671875,580.078125,0.0,2.72,4.14
1699,complex_37,342.6900584795249,1044.13671875,580.078125,0.0,2.72,4.14
1700,complex_37,345.48959136468096,1044.15625,580.078125,0.0,2.72,4.14
1701,complex_37,345.48959136468096,1044.15625,580.078125,0.0,2.72,4.14
1702,complex_37,348.246241947023,1044.15625,580.078125,0.0,2.72,4.14
1703,complex_37,348.246241947023,1044.15625,580.078125,0.0,2.72,4.14
1704,complex_37,350.2338009351978,1044.15625,580.078125,0.0,2.72,4.14
1705,complex_37,350.2338009351978,1044.15625,580.078125,0.0,2.72,4.14
1706,complex_37,352.34815278646903,1044.15625,580.078125,0.0,2.72,4.14
1707,complex_37,352.34815278646903,1044.15625,580.078125,0.0,2.72,4.14
1708,complex_37,354.3311726576258,1044.15625,580.078125,0.0,2.72,4.14
1709,complex_37,354.3311726576258,1044.15625,580.078125,0.0,2.72,4.14
1710,complex_37,355.8152476349421,1044.15625,580.078125,2.2,2.72,4.14
1711,complex_37,355.8152476349421,1044.15625,580.078125,2.2,2.72,4.14
1712,complex_37,357.24828676857715,1044.15625,580.078125,0.0,2.72,4.14
1713,complex_37,357.24828676857715,1044.15625,580.078125,0.0,2.72,4.14
1714,complex_37,358.5585585585582,1044.15625,580.078125,0.0,2.72,4.14
1715,complex_37,358.5585585585582,1044.15625,580.078125,0.0,2.72,4.14
1716,complex_37,359.752026704812,1044.15625,580.078125,0.0,2.72,4.14
1717,complex_37,359.752026704812,1044.15625,580.078125,0.0,2.72,4.14
1718,complex_37,360.8101957214341,1044.15625,580.078125,0.0,2.72,4.14
1719,complex_37,360.8101957214341,1044.15625,580.078125,0.0,2.72,4.14
1720,complex_38,79.0,163.32421875,181.53125,24.1,2.7,9.47
1721,complex_38,79.0,163.32421875,181.53125,24.1,2.7,9.47
1722,complex_38,116.23036649215545,1036.203125,580.078125,0.0,2.7,9.47
1723,complex_38,116.23036649215545,1036.203125,580.078125,0.0,2.7,9.47
1724,complex_38,198.9690721649584,1040.76171875,844.078125,29.4,2.7,9.47
1725,complex_38,198.9690721649584,1040.76171875,844.078125,29.4,2.7,9.47
1726,complex_38,235.2941176470676,1041.27734375,844.078125,99.7,2.7,9.47
1727,complex_38,235.2941176470676,1041.27734375,844.078125,99.7,2.7,9.47
1728,complex_38,256.822810590639,1041.27734375,844.078125,13.9,2.7,9.47
1729,complex_38,256.822810590639,1041.27734375,844.078125,13.9,2.7,9.47
1730,complex_38,271.4527027026994,1041.53515625,844.078125,34.8,2.7,9.47
1731,complex_38,271.4527027026994,1041.53515625,844.078125,34.8,2.7,9.47
1732,complex_38,284.6599131693258,1042.02734375,2109.578125,0.0,2.7,9.47
1733,complex_38,284.6599131693258,1042.02734375,2109.578125,0.0,2.7,9.47
1734,complex_38,296.59090909090634,1042.02734375,2109.578125,0.0,2.7,9.47
1735,complex_38,296.59090909090634,1042.02734375,2109.578125,0.0,2.7,9.47
1736,complex_38,306.2850729517446,1042.02734375,2109.578125,0.0,2.7,9.47
1737,complex_38,306.2850729517446,1042.02734375,2109.578125,0.0,2.7,9.47
1738,complex_38,314.01209677419126,1042.02734375,2109.578125,0.0,2.7,9.47
1739,complex_38,314.01209677419126,1042.02734375,2109.578125,0.0,2.7,9.47
1740,complex_38,320.4212454212433,1042.02734375,2109.578125,0.0,2.7,9.47
1741,complex_38,320.4212454212433,1042.02734375,2109.578125,0.0,2.7,9.47
1742,complex_38,325.5872483221457,1042.02734375,2109.578125,0.0,2.7,9.47
1743,complex_38,325.5872483221457,1042.02734375,2109.578125,0.0,2.7,9.47
1744,complex_38,330.0309597523201,1042.02734375,2109.578125,0.0,2.7,9.47
1745,complex_38,330.0309597523201,1042.02734375,2109.578125,0.0,2.7,9.47
1746,complex_38,333.9080459770097,1042.02734375,2109.578125,0.0,2.7,9.47
1747,complex_38,333.9080459770097,1042.02734375,2109.578125,0.0,2.7,9.47
1748,complex_38,337.26541554959624,1042.02734375,2109.578125,0.0,2.7,9.47
1749,complex_38,337.26541554959624,1042.02734375,2109.578125,0.0,2.7,9.47
1750,complex_38,340.20100502512406,1042.02734375,2109.578125,0.0,2.7,9.47
1751,complex_38,340.20100502512406,1042.02734375,2109.578125,0.0,2.7,9.47
1752,complex_38,342.67139479905285,1042.02734375,2109.578125,0.0,2.7,9.47
1753,complex_38,342.67139479905285,1042.02734375,2109.578125,0.0,2.7,9.47
1754,complex_38,344.86607142857,1042.02734375,2109.578125,0.0,2.7,9.47
1755,complex_38,344.86607142857,1042.02734375,2109.578125,0.0,2.7,9.47
1756,complex_38,346.88160676532635,1042.02734375,2109.578125,0.0,2.7,9.47
1757,complex_38,346.88160676532635,1042.02734375,2109.578125,0.0,2.7,9.47
1758,complex_38,348.895582329316,1042.02734375,2109.578125,0.0,2.7,9.47
1759,complex_38,348.895582329316,1042.02734375,2109.578125,0.0,2.7,9.47
1760,complex_38,350.4780114722741,1042.02734375,2109.578125,0.0,2.7,9.47
1761,complex_38,350.4780114722741,1042.02734375,2109.578125,0.0,2.7,9.47
1762,complex_38,351.89238486092376,1042.02734375,2109.578125,0.0,2.7,9.47
1763,complex_38,351.89238486092376,1042.02734375,2109.578125,0.0,2.7,9.47
1764,complex_38,353.2054077627587,1042.02734375,2109.578125,0.0,2.7,9.47
1765,complex_38,353.2054077627587,1042.02734375,2109.578125,0.0,2.7,9.47
1766,complex_38,354.45048056832667,1042.02734375,2109.578125,0.0,2.7,9.47
1767,complex_38,354.45048056832667,1042.02734375,2109.578125,0.0,2.7,9.47
1768,complex_38,355.71600481348014,1042.02734375,2109.578125,0.0,2.7,9.47
1769,complex_38,355.71600481348014,1042.02734375,2109.578125,0.0,2.7,9.47
1770,complex_38,356.6910913999251,1042.02734375,2109.578125,0.0,2.7,9.47
1771,complex_38,356.6910913999251,1042.02734375,2109.578125,0.0,2.7,9.47
1772,complex_38,357.70516152989444,1042.02734375,2109.578125,0.0,2.7,9.47
1773,complex_38,357.70516152989444,1042.02734375,2109.578125,0.0,2.7,9.47
1774,complex_38,358.216970998928,318.77734375,1775.53125,0.0,2.7,9.47
1775,complex_39,82.0,166.79296875,181.53125,28.1,2.64,4.13
1776,complex_39,82.0,166.79296875,181.53125,28.1,2.64,4.13
1777,complex_39,117.435897435881,1037.796875,580.078125,0.0,2.64,4.13
1778,complex_39,117.435897435881,1037.796875,580.078125,0.0,2.64,4.13
1779,complex_39,209.152542372862,1039.5703125,580.078125,0.0,2.64,4.13
1780,complex_39,209.152542372862,1039.5703125,580.078125,0.0,2.64,4.13
1781,complex_39,254.17721518985584,1039.5703125,580.078125,0.0,2.64,4.13
1782,complex_39,254.17721518985584,1039.5703125,580.078125,0.0,2.64,4.13
1783,complex_39,281.6161616161461,1039.5703125,580.078125,0.0,2.64,4.13
1784,complex_39,281.6161616161461,1039.5703125,580.078125,0.0,2.64,4.13
1785,complex_39,300.168067226877,1039.5703125,580.078125,0.0,2.64,4.13
1786,complex_39,300.168067226877,1039.5703125,580.078125,0.0,2.64,4.13
1787,complex_39,312.80575539567116,1039.5703125,580.078125,0.0,2.64,4.13
1788,complex_39,312.80575539567116,1039.5703125,580.078125,0.0,2.64,4.13
1789,complex_39,322.5157232704292,1039.5703125,580.078125,0.0,2.64,4.13
1790,complex_39,322.5157232704292,1039.5703125,580.078125,0.0,2.64,4.13
1791,complex_39,329.8324022346268,1039.5703125,580.078125,0.0,2.64,4.13
1792,complex_39,329.8324022346268,1039.5703125,580.078125,0.0,2.64,4.13
1793,complex_39,335.4773869346642,1043.49609375,580.078125,0.0,2.64,4.13
1794,complex_39,335.4773869346642,1043.49609375,580.078125,0.0,2.64,4.13
1795,complex_39,339.7260273972518,1043.49609375,580.078125,0.0,2.64,4.13
