secs,id,TTFT,TBT,total_time,total_tokens,prompt_tokens
265,contextual_01,21049.66,779.3,59309.06,421.0,372.0
266,contextual_01,21049.66,779.3,59309.06,421.0,372.0
267,contextual_01,21049.66,779.3,59309.06,421.0,372.0
268,contextual_01,21049.66,779.3,59309.06,421.0,372.0
269,contextual_01,21049.66,779.3,59309.06,421.0,372.0
270,contextual_01,21049.66,779.3,59309.06,421.0,372.0
271,contextual_01,21049.66,779.3,59309.06,421.0,372.0
272,contextual_01,21049.66,779.3,59309.06,421.0,372.0
273,contextual_01,21049.66,779.3,59309.06,421.0,372.0
274,contextual_01,21049.66,779.3,59309.06,421.0,372.0
275,contextual_01,21049.66,779.3,59309.06,421.0,372.0
276,contextual_01,21049.66,779.3,59309.06,421.0,372.0
277,contextual_01,21049.66,779.3,59309.06,421.0,372.0
278,contextual_01,21049.66,779.3,59309.06,421.0,372.0
279,contextual_01,21049.66,779.3,59309.06,421.0,372.0
280,contextual_01,21049.66,779.3,59309.06,421.0,372.0
281,contextual_01,21049.66,779.3,59309.06,421.0,372.0
282,contextual_01,21049.66,779.3,59309.06,421.0,372.0
283,contextual_01,21049.66,779.3,59309.06,421.0,372.0
284,contextual_01,21049.66,779.3,59309.06,421.0,372.0
285,contextual_01,21049.66,779.3,59309.06,421.0,372.0
286,contextual_01,21049.66,779.3,59309.06,421.0,372.0
287,contextual_01,21049.66,779.3,59309.06,421.0,372.0
288,contextual_01,21049.66,779.3,59309.06,421.0,372.0
289,contextual_01,21049.66,779.3,59309.06,421.0,372.0
290,contextual_01,21049.66,779.3,59309.06,421.0,372.0
291,contextual_01,21049.66,779.3,59309.06,421.0,372.0
292,contextual_01,21049.66,779.3,59309.06,421.0,372.0
293,contextual_01,21049.66,779.3,59309.06,421.0,372.0
294,contextual_01,21049.66,779.3,59309.06,421.0,372.0
295,contextual_01,21049.66,779.3,59309.06,421.0,372.0
296,contextual_01,21049.66,779.3,59309.06,421.0,372.0
297,contextual_01,21049.66,779.3,59309.06,421.0,372.0
298,contextual_01,21049.66,779.3,59309.06,421.0,372.0
299,contextual_01,21049.66,779.3,59309.06,421.0,372.0
300,contextual_01,21049.66,779.3,59309.06,421.0,372.0
301,contextual_01,21049.66,779.3,59309.06,421.0,372.0
302,contextual_01,21049.66,779.3,59309.06,421.0,372.0
303,contextual_01,21049.66,779.3,59309.06,421.0,372.0
304,contextual_01,21049.66,779.3,59309.06,421.0,372.0
305,contextual_01,21049.66,779.3,59309.06,421.0,372.0
306,contextual_01,21049.66,779.3,59309.06,421.0,372.0
